wl_air,n,f,w,k_air,wl_silica,k_silica
0.21,1.53835762,1.42857E+15,8.97598E+15,29919930.03,0.136509221,46027552.37
0.2174,1.530846431,1.37994E+15,8.67045E+15,28901496.35,0.142012938,44243752.54
0.2251,1.524078907,1.33274E+15,8.37386E+15,27912862.32,0.147695765,42541404.7
0.233,1.518041768,1.28755E+15,8.08994E+15,26966460.55,0.153487213,40936213.44
0.2412,1.512572116,1.24378E+15,7.81491E+15,26049690.33,0.159463471,39402035.21
0.2497,1.507609587,1.20144E+15,7.54888E+15,25162936.75,0.165626434,37935884.69
0.2585,1.503100963,1.16054E+15,7.2919E+15,24306326.14,0.171977802,36534862.23
0.2676,1.498999219,1.12108E+15,7.04393E+15,23479765.72,0.178519106,35196150.47
0.277,1.495262719,1.08303E+15,6.80489E+15,22682979.45,0.185251726,33917013.53
0.2868,1.491821503,1.04603E+15,6.57237E+15,21907898.56,0.192248201,32682674.17
0.2969,1.488683281,1.01044E+15,6.34879E+15,21162631.55,0.199437989,31504455.78
0.3074,1.485791437,9.75927E+14,6.13193E+15,20439770.03,0.206893103,30369235.28
0.3182,1.483150433,9.42803E+14,5.92381E+15,19746025.48,0.214543308,29286326.24
0.3294,1.480714442,9.10747E+14,5.72239E+15,19074636.63,0.222460179,28244089.93
0.341,1.478467652,8.79765E+14,5.52773E+15,18425763.36,0.230644208,27241895.1
0.353,1.47639513,8.49858E+14,5.33982E+15,17799391.81,0.239095885,26278935.38
0.3655,1.474468282,8.20793E+14,5.1572E+15,17190657.48,0.24788597,25347079.19
0.3783,1.47270468,7.93021E+14,4.9827E+15,16609001.61,0.256874311,24460154.39
0.3917,1.471052512,7.65892E+14,4.81224E+15,16040810.08,0.266271936,23596873.96
0.4055,1.46952865,7.39827E+14,4.64847E+15,15494908.28,0.275938819,22770211.65
0.4197,1.468121822,7.14796E+14,4.4912E+15,14970658.34,0.285875459,21978750.2
0.4345,1.46680482,6.90449E+14,4.33822E+15,14460725.68,0.296222097,21211062.13
0.4498,1.46558083,6.66963E+14,4.19065E+15,13968842.39,0.306909036,20472467.62
0.4657,1.464436031,6.44192E+14,4.04757E+15,13491916.06,0.318006379,19758048
0.4821,1.463371935,6.22278E+14,3.90989E+15,13032950.23,0.329444613,19072053.6
0.4991,1.462376439,6.01082E+14,3.77671E+15,12589030.87,0.341293792,18409902.13
0.5167,1.461444991,5.80608E+14,3.64807E+15,12160219.29,0.35355419,17771491.57
0.5349,1.460573079,5.60852E+14,3.52394E+15,11746467.2,0.366226112,17156573.78
0.5537,1.459756285,5.4181E+14,3.40429E+15,11347634.65,0.379309893,16564781.01
0.5732,1.458986561,5.23378E+14,3.28848E+15,10961593.35,0.392875449,15992817.39
0.5934,1.458260788,5.05561E+14,3.17653E+15,10588448.44,0.4069231,15440719.17
0.6143,1.457575807,4.88361E+14,3.06846E+15,10228203.33,0.421453208,14908381.73
0.636,1.456925601,4.71698E+14,2.96377E+15,9879222.181,0.436535674,14393291.72
0.6584,1.456310408,4.5565E+14,2.86293E+15,9543112.556,0.452101418,13897734.14
0.6816,1.455724699,4.40141E+14,2.76549E+15,9218288.303,0.4682204,13419289.96
0.7056,1.45516603,4.2517E+14,2.67142E+15,8904741.082,0.484893122,12957876.73
0.7305,1.454629875,4.10678E+14,2.58036E+15,8601211.919,0.502189603,12511579.82
0.7562,1.454116165,3.9672E+14,2.49267E+15,8308893.556,0.520040983,12082096.43
0.7829,1.453618854,3.83191E+14,2.40766E+15,8025527.28,0.53858685,11666057.76
0.8104,1.45313961,3.70188E+14,2.32596E+15,7753190.162,0.557689016,11266467.73
0.839,1.452671274,3.57569E+14,2.24667E+15,7488897.863,0.577556681,10878906.8
0.8686,1.452213821,3.45383E+14,2.17011E+15,7233692.502,0.598121287,10504868.23
0.8992,1.451765383,3.3363E+14,2.09626E+15,6987528.144,0.619383828,10144251.48
0.9308,1.451324079,3.22303E+14,2.02509E+15,6750306.518,0.641345385,9796882.389
0.9636,1.450885397,3.11333E+14,1.95616E+15,6520532.697,0.664146184,9460545.672
0.9976,1.450447736,3.00722E+14,1.88949E+15,6298301.23,0.687787623,9135356.758
1.033,1.450006962,2.90416E+14,1.82474E+15,6082463.995,0.712410373,8819615.136
1.069,1.44957109,2.80636E+14,1.76329E+15,5877628.912,0.73745952,8520040.95
1.107,1.449121462,2.71003E+14,1.70276E+15,5675867.486,0.763911121,8225021.388
1.146,1.448668311,2.6178E+14,1.64481E+15,5482709.692,0.791071353,7942627.788
1.186,1.448209659,2.52951E+14,1.58934E+15,5297795.369,0.818942197,7672318.424
1.228,1.447732246,2.443E+14,1.53498E+15,5116600.413,0.848223146,7407467.407
1.271,1.447245577,2.36035E+14,1.48305E+15,4943497.488,0.878219992,7154454.877
1.316,1.446736352,2.27964E+14,1.43234E+15,4774456.92,0.909633602,6907380.39
1.362,1.446213852,2.20264E+14,1.38396E+15,4613205.071,0.941769433,6671681.076
1.41,1.445664578,2.12766E+14,1.33685E+15,4456159.792,0.975329977,6442112.366
1.46,1.445086147,2.05479E+14,1.29107E+15,4303551.58,1.01032039,6219002.772
1.512,1.444475988,1.98413E+14,1.24666E+15,4155545.838,1.046746372,6002586.182
1.565,1.443843402,1.91693E+14,1.20444E+15,4014814.893,1.083912561,5796763.994
1.62,1.443173929,1.85185E+14,1.16355E+15,3878509.449,1.122525822,5597363.718
1.677,1.442464576,1.78891E+14,1.124E+15,3746681.757,1.162593542,5404455.712
1.736,1.441712173,1.72811E+14,1.0858E+15,3619346.375,1.204123841,5218055.729
1.797,1.440913367,1.66945E+14,1.04895E+15,3496485.981,1.247125637,5038133.387
1.861,1.440050939,1.61204E+14,1.01287E+15,3376241.433,1.292315397,4861959.645
1.926,1.439148066,1.55763E+14,9.78689E+14,3262297.667,1.338291761,4694929.379
1.994,1.438172943,1.50451E+14,9.45314E+14,3151045.791,1.386481375,4531748.799
2.064,1.43713496,1.45349E+14,9.13254E+14,3044178.928,1.436190794,4374895.963
2.137,1.436013962,1.40384E+14,8.82057E+14,2940189.662,1.488147091,4222153.405
2.212,1.434819618,1.35624E+14,8.5215E+14,2840499.687,1.541657204,4075604.675
2.29,1.433529881,1.31004E+14,8.23125E+14,2743749.042,1.597455365,3933246.239
2.371,1.432137211,1.26529E+14,7.95004E+14,2650014.891,1.655567624,3795184.935
2.454,1.430651699,1.22249E+14,7.68116E+14,2560385.211,1.715302196,3663019.451
2.541,1.429028728,1.18064E+14,7.41816E+14,2472721.49,1.778130803,3533590.047
2.63,1.427296094,1.14068E+14,7.16713E+14,2389043.843,1.842644993,3409872.945
2.723,1.425404433,1.10173E+14,6.92235E+14,2307449.617,1.910335016,3289048.913
2.819,1.423361368,1.06421E+14,6.68661E+14,2228870.276,1.980523051,3172487.846
2.918,1.421154416,1.0281E+14,6.45975E+14,2153250.619,2.05326034,3060101.627
3.021,1.418745952,9.93049E+13,6.23951E+14,2079836.249,2.129345283,2950759.259
3.128,1.416117293,9.59079E+13,6.02607E+14,2008690.955,2.208856579,2844541.998
3.238,1.413274157,9.26498E+13,5.82136E+14,1940452.535,2.291133666,2742391.42
3.352,1.410169683,8.94988E+13,5.62338E+14,1874458.624,2.377018908,2643304.724
3.47,1.406778215,8.64553E+13,5.43215E+14,1810716.227,2.466629042,2547276.141
3.592,1.403070896,8.35189E+13,5.24765E+14,1749216.4,2.560098716,2454274.621
3.719,1.398982,8.06668E+13,5.06845E+14,1689482.47,2.658361581,2363555.565
3.85,1.394503572,7.79221E+13,4.89599E+14,1631996.184,2.760839109,2275824.508
3.986,1.389555342,7.52634E+13,4.72894E+14,1576313.424,2.868543541,2190374.738
4.126,1.384120806,7.27096E+13,4.56848E+14,1522827.268,2.980953673,2107776.905
4.271,1.378099774,7.02412E+13,4.41338E+14,1471127.443,3.099195053,2027360.395
4.422,1.371370131,6.78426E+13,4.26268E+14,1420892.2,3.224512407,1948569.121
4.578,1.363881434,6.55308E+13,4.11742E+14,1372473.855,3.356596759,1871891.609
4.739,1.355526219,6.33045E+13,3.97754E+14,1325846.235,3.496059268,1797219.334
4.906,1.346117123,6.11496E+13,3.84214E+14,1280714.494,3.644556566,1723991.71
5.079,1.335482357,5.90667E+13,3.71127E+14,1237091.023,3.803120252,1652113.236
5.258,1.323410544,5.70559E+13,3.58493E+14,1194976.285,3.973067937,1581444.216
5.443,1.3096384,5.51167E+13,3.46308E+14,1154360.703,4.156109044,1511795.105
5.635,1.293746028,5.32387E+13,3.34509E+14,1115028.448,4.355568928,1442563.626
5.833,1.275372396,5.14315E+13,3.23154E+14,1077179.034,4.573566134,1373804.406
6.039,1.253728956,4.96771E+13,3.1213E+14,1040434.725,4.8168306,1304423.142
6.252,1.228088835,4.79846E+13,3.01496E+14,1004988.053,5.090836933,1234214.608
6.472,1.197325672,4.63535E+13,2.91248E+14,970825.9127,5.4053798,1162394.788
6.7,1.159649414,4.47761E+13,2.81337E+14,937788.8518,5.777608232,1087506.292
